trade_date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-02-23,4582.01,4623.05,4625.3,4579.29,122952916,259050147840.0,1.01,1.07,48.9,0.38
2022-02-24,4592.07,4529.32,4610.88,4488.48,184403059,342346665984.0,2.65,-2.03,-93.73,0.56
2022-02-25,4564.63,4573.42,4611.86,4561.9,149722583,271727599616.0,1.1,0.97,44.1,0.46
2022-02-28,4563.74,4581.65,4581.65,4530.68,135406979,248363728896.0,1.11,0.18,8.23,0.41
2022-03-01,4597.86,4619.69,4623.43,4583.92,123139220,260431183872.0,0.86,0.83,38.04,0.38
2022-03-02,4594.02,4578.6,4594.02,4558.44,113298324,215299653632.0,0.77,-0.89,-41.09,0.35
2022-03-03,4595.02,4551.63,4599.4,4544.43,138285878,242701770752.0,1.2,-0.59,-26.97,0.42
2022-03-04,4513.36,4496.43,4539.39,4481.49,127266806,249970282496.0,1.27,-1.21,-55.2,0.39
2022-03-07,4462.52,4352.78,4462.52,4338.3,162197706,306898526208.0,2.76,-3.19,-143.65,0.5
2022-03-08,4361.64,4265.39,4383.65,4252.54,167863278,315176697856.0,3.01,-2.01,-87.39,0.51
2022-03-09,4280.98,4226.35,4304.48,4068.19,194232901,341009391616.0,5.54,-0.92,-39.04,0.59
2022-03-10,4326.2,4292.84,4335.67,4288.51,145266383,301636182016.0,1.12,1.57,66.49,0.44
2022-03-11,4231.2,4306.52,4316.04,4176.45,152399921,295008833536.0,3.25,0.32,13.68,0.47
2022-03-14,4248.15,4174.76,4280.36,4174.76,130187236,260691660800.0,2.45,-3.06,-131.76,0.4
2022-03-15,4125.49,3983.81,4163.42,3983.81,202524700,346988949504.0,4.3,-4.57,-190.95,0.62
2022-03-16,4053.1,4156.08,4168.59,3942.86,196021983,378883588096.0,5.67,4.32,172.27,0.6
2022-03-17,4237.67,4237.7,4302.74,4217.8,179407345,385039196160.0,2.04,1.96,81.62,0.55
2022-03-18,4218.47,4265.9,4283.37,4194.94,149458304,275791290368.0,2.09,0.67,28.2,0.46
2022-03-21,4280.14,4258.75,4287.82,4223.02,127036360,251214544896.0,1.52,-0.17,-7.15,0.39
2022-03-22,4252.57,4255.3,4283.33,4236.69,126382469,226213535744.0,1.1,-0.08,-3.45,0.39
2022-03-23,4269.61,4276.52,4287.58,4241.96,117089078,226390777856.0,1.07,0.5,21.22,0.36
2022-03-24,4249.53,4251.31,4273.96,4216.85,108918272,219594432512.0,1.34,-0.59,-25.21,0.33
2022-03-25,4249.07,4174.57,4254.84,4173.93,108808046,217013186560.0,1.9,-1.81,-76.74,0.33
2022-03-28,4128.84,4148.47,4174.12,4091.3,118449021,213468975104.0,1.98,-0.63,-26.1,0.36
2022-03-29,4155.42,4134.14,4177.21,4124.72,100266972,199463854080.0,1.27,-0.35,-14.33,0.31
2022-03-30,4162.17,4254.1,4254.1,4160.74,138346025,268869181440.0,2.26,2.9,119.96,0.42
2022-03-31,4234.72,4222.6,4247.36,4214.54,134029184,238877216768.0,0.77,-0.74,-31.5,0.41
2022-04-01,4198.82,4276.16,4290.67,4190.08,133803054,244758872064.0,2.38,1.27,53.56,0.41
2022-04-06,4258.83,4263.84,4277.52,4236.73,159062195,253690929152.0,0.95,-0.29,-12.32,0.49
2022-04-07,4240.02,4209.1,4278.11,4205.74,134880353,216996184064.0,1.7,-1.28,-54.74,0.41
2022-04-08,4213.21,4230.77,4237.81,4175.53,142843794,229081763840.0,1.48,0.51,21.67,0.44
2022-04-11,4203.79,4100.07,4203.79,4089.09,148197071,265224933376.0,2.71,-3.09,-130.7,0.45
2022-04-12,4102.97,4179.97,4179.97,4075.8,144285683,252830412800.0,2.54,1.95,79.9,0.44
2022-04-13,4154.41,4139.74,4194.04,4139.74,125097490,221281030144.0,1.3,-0.96,-40.23,0.38
2022-04-14,4172.64,4191.57,4217.06,4155.55,124791316,245993820160.0,1.49,1.25,51.83,0.38
2022-04-15,4162.37,4188.75,4211.32,4152.97,124762263,226229739520.0,1.39,-0.07,-2.82,0.38
2022-04-18,4152.93,4166.38,4171.74,4119.99,117504609,212855328768.0,1.24,-0.53,-22.37,0.36
2022-04-19,4161.93,4134.9,4186.94,4115.42,110217472,208570580992.0,1.72,-0.76,-31.48,0.34
2022-04-20,4130.54,4070.79,4136.17,4060.5,117331658,216536637440.0,1.83,-1.55,-64.11,0.36
2022-04-21,4048.73,3995.83,4086.44,3978.37,132783828,227026681856.0,2.65,-1.84,-74.96,0.41
2022-04-22,3967.2,4013.25,4037.08,3953.72,122101811,206371766272.0,2.09,0.44,17.42,0.37
2022-04-25,3933.45,3814.91,3958.21,3814.91,168364503,272889274368.0,3.57,-4.94,-198.34,0.52
2022-04-26,3822.49,3784.12,3871.85,3773.9,157577610,259626352640.0,2.57,-0.81,-30.79,0.48
2022-04-27,3758.08,3895.54,3895.73,3757.09,172734047,296924102656.0,3.66,2.94,111.42,0.53
2022-04-28,3883.42,3921.11,3943.43,3873.58,153056586,268502241280.0,1.79,0.66,25.57,0.47
2022-04-29,3939.62,4016.24,4017.43,3898.57,179458378,321414877184.0,3.03,2.43,95.13,0.55
2022-05-05,3995.35,4010.21,4039.7,3988.93,154170716,290538229760.0,1.26,-0.15,-6.03,0.47
2022-05-06,3928.85,3908.82,3947.24,3902.05,123005550,214825172992.0,1.13,-2.53,-101.39,0.38
2022-05-09,3883.95,3877.44,3914.11,3854.94,92936694,171756503040.0,1.51,-0.8,-31.38,0.28
2022-05-10,3820.63,3919.87,3932.68,3808.57,136416919,239060213760.0,3.2,1.09,42.43,0.42
2022-05-11,3917.93,3976.42,4033.3,3916.52,165632256,309294911488.0,2.98,1.44,56.55,0.51
2022-05-12,3949.95,3958.74,3985.93,3935.59,113376067,202029158400.0,1.27,-0.44,-17.68,0.35
2022-05-13,3983.82,3988.6,4003.85,3957.14,109968356,195727044608.0,1.18,0.75,29.86,0.34
2022-05-16,4015.0,3956.54,4018.03,3947.75,112425295,199717908480.0,1.76,-0.8,-32.06,0.34
2022-05-17,3961.76,4005.89,4005.89,3955.1,109661455,210117537792.0,1.28,1.25,49.35,0.34
2022-05-18,4015.01,3991.91,4017.34,3964.75,108074232,201800667136.0,1.31,-0.35,-13.98,0.33
2022-05-19,3938.3,3999.6,3999.6,3933.75,116293420,210206683136.0,1.65,0.19,7.69,0.36
2022-05-20,4020.82,4077.6,4077.6,4020.82,147069174,265609089024.0,1.42,1.95,78.0,0.45
2022-05-23,4080.97,4053.98,4080.97,4029.08,130477811,225981542400.0,1.27,-0.58,-23.62,0.4
2022-05-24,4052.87,3959.15,4055.78,3959.15,145554337,247713038336.0,2.38,-2.34,-94.83,0.45
2022-05-25,3959.77,3983.18,3983.62,3946.81,107734016,188700536832.0,0.93,0.61,24.03,0.33
2022-05-26,3987.68,3993.04,4015.75,3938.24,126263690,216987025408.0,1.95,0.25,9.86,0.39
2022-05-27,4022.71,4001.3,4051.14,3983.38,112769336,206944428032.0,1.7,0.21,8.26,0.35
2022-05-30,4020.86,4029.02,4040.82,4003.38,111152241,211144720384.0,0.94,0.69,27.72,0.34
2022-05-31,4031.76,4091.52,4096.2,4020.38,135415514,267770089472.0,1.88,1.55,62.5,0.41
2022-06-01,4086.62,4083.18,4094.9,4058.85,114850880,225416237056.0,0.88,-0.2,-8.34,0.35
2022-06-02,4064.0,4089.57,4091.15,4057.91,113893637,222657536000.0,0.81,0.16,6.39,0.35
2022-06-06,4090.53,4166.09,4166.62,4063.91,167871012,324075626496.0,2.51,1.87,76.52,0.51
2022-06-07,4165.69,4179.13,4198.09,4155.17,142992881,285733724160.0,1.03,0.31,13.04,0.44
2022-06-08,4187.15,4219.81,4224.81,4158.03,157374057,319480254464.0,1.6,0.97,40.68,0.48
2022-06-09,4211.72,4175.67,4227.45,4160.88,168449155,285172805632.0,1.58,-1.05,-44.14,0.52
2022-06-10,4145.65,4238.99,4241.35,4140.22,184796214,324091441152.0,2.42,1.52,63.32,0.57
2022-06-13,4194.46,4189.35,4218.23,4156.71,168475622,336585670656.0,1.45,-1.17,-49.64,0.52
2022-06-14,4143.22,4222.31,4224.09,4102.93,171385905,335418556416.0,2.89,0.79,32.96,0.52
